Iteration,Rate
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.03076923076923077
66,0.07575757575757576
67,0.05970149253731343
68,0.10294117647058823
69,0.18840579710144928
70,0.12857142857142856
71,0.19718309859154928
72,0.18055555555555555
73,0.2054794520547945
74,0.2702702702702703
75,0.30666666666666664
76,0.25
77,0.38961038961038963
78,0.3076923076923077
79,0.34177215189873417
80,0.3125
81,0.345679012345679
82,0.4146341463414634
83,0.42168674698795183
84,0.4523809523809524
85,0.47058823529411764
86,0.5465116279069767
87,0.42528735632183906
88,0.4431818181818182
89,0.5056179775280899
90,0.5
91,0.5164835164835165
92,0.6304347826086957
93,0.5806451612903226
94,0.5212765957446809
95,0.5894736842105263
96,0.53125
97,0.6185567010309279
98,0.6224489795918368
99,0.5959595959595959
100,0.61
101,0.5841584158415841
102,0.6862745098039216
103,0.6990291262135923
104,0.5576923076923077
105,0.7619047619047619
106,0.6981132075471698
107,0.6635514018691588
108,0.7407407407407407
109,0.6513761467889908
110,0.7545454545454545
111,0.8018018018018018
112,0.6875
113,0.7168141592920354
114,0.6578947368421053
115,0.7130434782608696
116,0.7413793103448276
117,0.6837606837606838
118,0.7966101694915254
119,0.8235294117647058
120,0.7333333333333333
121,0.8512396694214877
122,0.7868852459016393
123,0.7886178861788617
124,0.7741935483870968
125,0.808
126,0.7936507936507936
127,0.8267716535433071
128,0.875
